settlement_date,settlement_period,fuel_type,generation_mw,start_time,publish_time,gas_day,ingested_at,updated_at
2026-07-06,42,INTELEC,740,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTEW,-532,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTFR,1378,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTGRNL,0,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTIFA2,704,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTIRL,-454,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTNED,478,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTNEM,-866,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTNSL,1398,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,INTVKL,1426,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,NPSHYD,461,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,NUCLEAR,2996,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,OCGT,7,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,OIL,0,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,OTHER,1697,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,PS,454,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,WIND,9346,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
